Biosample ID,SRA ID,OrganismName,depth,description,ENA checklist,EVENT_Device,Event Date/Time,IHO,INSDC center name,INSDC first public,INSDC last update,INSDC status,Latitude End,Latitude Start,Longitude End,Longitude Start,Marine Region,Protocol Label,SAMPLE_Title,SAMPLING_Objective,SRA accession,salinity,Sample Name,Sampling Campaign,Sampling Platform,Sampling Site,temperature,Title,broad-scale environmental context,environment (feature),environment (material),environmental package,mrgid,Attributes/Attribute/33/_attribute_name,Attributes/Attribute/33/_harmonized_name,Attributes/Attribute/33/_display_name,project name,_publication_date,_last_update,_submission_date,_id,_accession
SAMEA3275625,ERS667645,marine metagenome,1,Solemio station (SOMLIT site),ERC000027,CTD rosette + 2 Niskin bottles,2014-06-23T09:00:00+00,Mediterranean Sea - Western Basin,OSD_Mediterranean Institute of Oceanography – OSU Pytheas/Centre Nationale Recherche Scientific,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,43.22639,43.22639,5.74583,5.74583,Mediterranean Sea - Western Basin,NPL022,OSD22_2014-06-23_1m_NPL022,Solemio station (SOMLIT site),ERS667645,38.0871,ERS667645,OSD-Jun-2014,NO ANTEDON II,"OSD22,Marseille Solemio SOMLIT",21.9952,OSD22_2014-06-23_1m_NPL022,0,0,0,water,4279,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.803,2015-03-04T08:10:56.973,3386900,SAMEA3275625
SAMEA3275624,ERS667644,marine metagenome,0,Exploring biodiversity,ERC000027,Bottle 5L,2014-06-21T12:30:00+00,Alboran Sea,"OSD_Polydisciplinary Faculty of Nador, University Mohamed First",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.1927,35.1927,-2.88005,-2.88005,Alboran Sea,NPL022,OSD24_2014-06-21_0m_NPL022,Exploring biodiversity,ERS667644,20.98,ERS667644,OSD-Jun-2014,Ship MarchicaMed,"OSD24,Marchica",26.5,OSD24_2014-06-21_0m_NPL022,ENVO 01000047,ENVO 0000570,ENVO 00002150,water,3324,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.630,2015-03-04T08:10:56.870,3386899,SAMEA3275624
SAMEA3275623,ERS667643,marine metagenome,0,exploring biodiversity,ERC000027,bottle 5L,2014-06-21T10:00:00+00,Alboran Sea,"OSD_Faculty of Science of Oujda, University Mohamed First",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.086353,35.086353,-2.214658,-2.214658,Alboran Sea,NPL022,OSD25_2014-06-21_0m_NPL022,exploring biodiversity,ERS667643,30,ERS667643,OSD-Jun-2014,ship,"OSD25,Saidia Rocher",23.1,OSD25_2014-06-21_0m_NPL022,ENVO 01000047,ENVO 0000569,ENVO 00002150,water,3324,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.443,2015-03-04T08:10:56.743,3386898,SAMEA3275623
SAMEA3275622,ERS667642,marine metagenome,0,Exploring biodiversity,ERC000027,Bottle 5L,2014-06-21T12:45:00+00,Strait of Gibraltar,"OSD_Faculty of Sciences and Techniques of Tangier, University Abdelmalek Essaadi",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.82,35.82,-5.75,-5.75,Strait of Gibraltar,NPL022,OSD26_2014-06-21_0m_NPL022,Exploring biodiversity,ERS667642,34.19,ERS667642,OSD-Jun-2014,Ship,"OSD26,Tangier",28,OSD26_2014-06-21_0m_NPL022,ENVO 01000047,ENVO 0000569,ENVO 00002227,water,3346,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.270,2015-03-04T08:10:56.543,3386897,SAMEA3275622
SAMEA3275621,ERS667641,marine metagenome,0.2,Sample microbial diversity,ERC000027,acid-washed bucket,2014-06-21T10:15:00+00,Bay of Bengal,"OSD_Carrie Bow Cay Field Station, Belize (Smithsonian Marine Station)",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,16.802575,16.802575,88.08165,88.08165,Bay of Bengal,NPL022,OSD28_2014-06-21_0.2m_NPL022,Sample microbial diversity,ERS667641,35,ERS667641,OSD-Jun-2014,"wading, on foot","OSD28,Belize",29.5,OSD28_2014-06-21_0.2m_NPL022,Caribbean Sea,back reef environment near mesoamerican reef,water,water,4273,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.083,2015-03-04T08:10:56.313,3386896,SAMEA3275621
SAMEA3275620,ERS667640,marine metagenome,0.2,sample microbial diversity,ERC000027,acid-washed buckets,2014-06-21T10:00:00+00,North Atlantic Ocean,"OSD_Smithsonian Marine Station at Fort Pierce, FL",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,27.4694,27.4694,-80.283366,-80.283366,North Atlantic Ocean,NPL022,OSD29_2014-06-21_0.2m_NPL022,sample microbial diversity,ERS667640,35.7,ERS667640,OSD-Jun-2014,research vessel,"OSD29,Florida",26.9,OSD29_2014-06-21_0.2m_NPL022,Atlantic Ocean,"Nearshore environment, 25' water",water,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:37.897,2015-03-04T08:10:56.047,3386895,SAMEA3275620
SAMEA3282984,ERS667638,marine metagenome,2,"The sampling site is situated in the northern Baltic Sea, and represents a marginal (enclosed, seasonally ice covered) and ecologically extreme (permanently low salinities) marine environment. It will be interesting to see this reflected in the community and metagenomic data",ERC000027,LIMNOS water sampler,2014-06-20T10:15:00+00,Gulf of Finland,OSD_Finnish Environment Institute/ Tvärminne Zoological Station,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,59.8822,59.8822,23.2538,23.2538,Gulf of Finland,NPL022,OSD30_2014-06-20_2m_NPL022,"The sampling site is situated in the northern Baltic Sea, and represents a marginal (enclosed, seasonally ice covered) and ecologically extreme (permanently low salinities) marine environment. It will be interesting to see this reflected in the community and metagenomic data",ERS667638,5.63,ERS667638,OSD-Jun-2014,small motor boat,"OSD30,Finland/Tvärminne",10.5,OSD30_2014-06-20_2m_NPL022,marine pelagic biome,mixed surface layer,sea water,water,2407,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-16T00:21:35.280,2015-03-04T08:10:55.770,3386894,SAMEA3282984
SAMEA3275616,ERS667634,marine metagenome,0,The overall objective is a description of the microbial diversity of multiple points of world oceans at a synchronized and single point of time.,ERC000027,5 Liter plastic jug,2014-06-21T11:30:00+00,Mediterranean Sea - Eastern Basin,OSD_University of Alexandria,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,31.21667,31.21667,29.96667,29.96667,Mediterranean Sea - Eastern Basin,NPL022,OSD34_2014-06-21_0m_NPL022,The overall objective is a description of the microbial diversity of multiple points of world oceans at a synchronized and single point of time.,ERS667634,36,ERS667634,OSD-Jun-2014,500 m of shore of the Mediterranean Sea,"OSD34,Alexandria",27,OSD34_2014-06-21_0m_NPL022,marine biome,surface water,Seawater,water,4280,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:37.693,2015-03-04T08:10:55.533,3386893,SAMEA3275616
SAMEA3275615,ERS667633,marine metagenome,1,OSD Main Event Sampling,ERC000027,YSI 6600 v2 datasonde,2014-06-21T12:01:00+00,North Atlantic Ocean,OSD_NOAA/NOS Cooperative Oxford Lab,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,38.6792,38.6792,-76.1742,-76.1742,North Atlantic Ocean,NPL022,OSD35_2014-06-21_1m_NPL022,OSD Main Event Sampling,ERS667633,8.97,ERS667633,OSD-Jun-2014,Oxford Lab Pier,"OSD35,Cheasapeake Bay",26.32,OSD35_2014-06-21_1m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:01000301,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:37.490,2015-03-04T08:10:55.373,3386892,SAMEA3275615
SAMEA3275614,ERS667632,marine metagenome,0.5,Ocean Sampling Day 2014,ERC000027,Bucket,2014-06-21T12:30:00+00,North Atlantic Ocean,OSD_NOAA/NOS Cooperative Oxford Lab,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,39.3322,39.3322,-75.4699,-75.4699,North Atlantic Ocean,NPL022,OSD36_2014-06-21_0.5m_NPL022,Ocean Sampling Day 2014,ERS667632,7.42,ERS667632,OSD-Jun-2014,Free-standing beach sample,"OSD36,Delaware",23.55,OSD36_2014-06-21_0.5m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:01000301,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:37.287,2015-03-04T08:10:55.190,3386891,SAMEA3275614
SAMEA3275612,ERS667630,marine metagenome,1,OSD Summer Solstice 2014. Prokaryote samples - 6 replicate water samples of 10 Liters each (5 sterivex filters for each sample). Eukaryotic samples - 2 replicate water samples of 50 liters each (10 flat 47mm filters for each sample)\n\n,ERC000027,Collected seawater with cleaned pump and hose into sterile 20 liter polypropylene carboys,2014-06-19T08:11:00+00,North Atlantic Ocean,"OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,26.10293,26.10293,-80.09315,-80.09315,North Atlantic Ocean,NPL022,OSD37_2014-06-19_1m_NPL022,OSD Summer Solstice 2014. Prokaryote samples - 6 replicate water samples of 10 Liters each (5 sterivex filters for each sample). Eukaryotic samples - 2 replicate water samples of 50 liters each (10 flat 47mm filters for each sample)\n\n,ERS667630,33.82,ERS667630,OSD-Jun-2014,NOAA research vessel HILDEBRAND,"OSD37,Florida Coral 1 - Port Everglades",27.7,OSD37_2014-06-19_1m_NPL022,ENVO:00000447,ENVO:00002042,seawater,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:37.100,2015-03-04T08:10:54.973,3386890,SAMEA3275612
SAMEA3275611,ERS667629,marine metagenome,0,"particulate matter on a 0.22 um pore size sterivex filter from surface of Long Key OSD site 38. Replicate prokaryote sample 1 of 5, each replicate sample consisting of 5 sterivex filters. All prokaryotic filters (5 filters each of 5 replicate samples) from site 38 filtered 2 liters of sample.\n",ERC000027,"Collected seawater with clean bucket by hand toss from 25 foot motor boat, transfered to sterile 20 Liter carboys on board - collected 3 20L carboys",2014-06-20T11:55:00+00,North Atlantic Ocean,"OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,24.7449,24.7449,-80.78375,-80.78375,North Atlantic Ocean,NPL022,OSD38_2014-06-20_0m_NPL022,"particulate matter on a 0.22 um pore size sterivex filter from surface of Long Key OSD site 38. Replicate prokaryote sample 1 of 5, each replicate sample consisting of 5 sterivex filters. All prokaryotic filters (5 filters each of 5 replicate samples) from site 38 filtered 2 liters of sample.\n",ERS667629,36.25,ERS667629,OSD-Jun-2014,25-foot motor boat (Keys Marine Lab),"OSD38,Florida Coral 2 - Long Key",29.6,OSD38_2014-06-20_0m_NPL022,ENVO:00000447,ENVO:00002042,seawater,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:36.880,2015-03-04T08:10:54.767,3386889,SAMEA3275611
SAMEA3275610,ERS667628,marine metagenome,0.1,Prokaryote DNA sampling,ERC000027,4L sterile bottles,2014-06-19T13:00:00+00,unknown,"OSD_National Ocean Service, Center for Coastal Environmental Health and Biomolecular Research, Charleston, SC",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,32.7524,32.7524,79.89954,79.89954,unknown,NPL022,OSD39_2014-06-19_0.1m_NPL022,Prokaryote DNA sampling,ERS667628,24.3,ERS667628,OSD-Jun-2014,waded from shore,"OSD39,South Carolina 1 - Charleston Harbor",31.3,OSD39_2014-06-19_0.1m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,unknown,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:36.660,2015-03-04T08:10:54.630,3386888,SAMEA3275610
SAMEA3275609,ERS667627,marine metagenome,1,It is a great way for us to participate and learn about how diversified our region is compared to other regions around the world.,ERC000027,"Beta water sampler, horizontal pvc water sampler by Wildco. YSI monitoring sensor.",2014-06-21T10:40:00+00,The Coastal Waters of Southeast Alaska and British Columbia,"OSD_NOAA Fisheries, Northwest Fisheries Science Center, Seattle, WA",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,48.04051,48.04051,-123.0257,-123.0257,The Coastal Waters of Southeast Alaska and British Columbia,NPL022,OSD41_2014-06-21_1m_NPL022,It is a great way for us to participate and learn about how diversified our region is compared to other regions around the world.,ERS667627,24.73,ERS667627,OSD-Jun-2014,"Sequim Bay State Park Dock, a public boat dock.","OSD41,Washington - Sequim Bay Park",15.9,OSD41_2014-06-21_1m_NPL022,marine,"At time of collection, there was an algal bloom occurring.",,water,4313,,,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:36.083,2015-03-04T08:10:54.520,3386887,SAMEA3275609
SAMEA3275608,ERS667626,marine metagenome,3,Samples from a meromictic lake,ERC000027,Niskin bottle,2014-06-21T11:00:00+00,Tyrrhenian Sea,"OSD_Institute for Coastal Marine Environments, CNR, Messina, Italy",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,38.26861,38.26861,15.63708,15.63708,Tyrrhenian Sea,NPL022,OSD42_2014-06-21_3m_NPL022,Samples from a meromictic lake,ERS667626,36.8,ERS667626,OSD-Jun-2014,boat_papÃ Giovanni,"OSD42,Faro Lake",20,OSD42_2014-06-21_3m_NPL022,Meromictic lakes are unusual hydrological formations where bodies of water follow a seasonal cycle of stratifi- cation but do not mix completely.,meromictic lake that communicates with the Mediterranean Sea through channels,lake,water,3386,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:35.880,2015-03-04T08:10:54.430,3386886,SAMEA3275608
SAMEA3275607,ERS667625,marine metagenome,0,"The Scripps pier site is a major long term coastal sampling site on the west coast of the USA. It is managed by Scripps Institution of Oceanography, UCSD and is part of the NSF-funded California Current LTER. Oceanographic parameters and the abundance of different phytoplankton taxa, from harmful algae to cyanobacteria, are regularly monitored. The ocean sampling day samples were obtained as a collaboration of SIO, NOAA, and JCVI, and with accompanying metadata will help further our understanding of ecosystem dynamics at this site by providing a snap shot of diversity at the molecular level.\n",ERC000027,"Bucket, YSI",2014-06-21T10:49:00+00,North Pacific Ocean,OSD_Scripps Institute of Oceanography,2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,32.86698,32.86698,-117.25725,-117.25725,North Pacific Ocean,NPL022,OSD43_2014-06-21_0m_NPL022,"The Scripps pier site is a major long term coastal sampling site on the west coast of the USA. It is managed by Scripps Institution of Oceanography, UCSD and is part of the NSF-funded California Current LTER. Oceanographic parameters and the abundance of different phytoplankton taxa, from harmful algae to cyanobacteria, are regularly monitored. The ocean sampling day samples were obtained as a collaboration of SIO, NOAA, and JCVI, and with accompanying metadata will help further our understanding of ecosystem dynamics at this site by providing a snap shot of diversity at the molecular level.\n",ERS667625,33.54,ERS667625,OSD-Jun-2014,"Coastal Structure, Ellen Browning Scripps Pier","OSD43,California Scripps - SIO Pier",20.04,OSD43_2014-06-21_0m_NPL022,Marine Biome,marine Habitat,Surface water,water,1908,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:36.443,2015-03-04T08:10:54.340,3386885,SAMEA3275607
SAMEA3275605,ERS667623,marine metagenome,0,OSD Summer Solstice 2014. \nProkaryote samples - 6 replicate water samples of 10.5 Liters each (7 sterivex filters for each sample). \n,ERC000027,Collected seawater with clean bucket by hand toss from Fort Desoto Park Fishing Pier - transfered to sterile 20 Liter carboys on board - collected 3 20L carboys,2014-06-22T16:30:00+00,Gulf of Mexico,"OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.61578,27.61578,-82.72587,-82.72587,Gulf of Mexico,NPL022,OSD45_2014-06-22_0m_NPL022,OSD Summer Solstice 2014. \nProkaryote samples - 6 replicate water samples of 10.5 Liters each (7 sterivex filters for each sample). \n,ERS667623,33.84,ERS667623,OSD-Jun-2014,bucket toss from Fort DeSoto Fishing Pier,"OSD45,Gulf of Mexico Florida - Tampa Bay",31.2,OSD45_2014-06-22_0m_NPL022,ENVO:00000447,ENVO:00002042,seawater,water,4288,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:35.677,2015-03-04T08:10:54.250,3386884,SAMEA3275605
SAMEA3275604,ERS667622,marine metagenome,0,To determine the composition and diversity of microbes in the world's oceans\n,ERC000027,Carboys,2014-06-21T14:00:00+00,Gulf of Mexico,OSD_University of Southern Mississippi (NOAA site),2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,30.2484,30.2484,-88.74825,-88.74825,Gulf of Mexico,NPL022,OSD46_2014-06-21_0m_NPL022,To determine the composition and diversity of microbes in the world's oceans\n,ERS667622,17.5,ERS667622,OSD-Jun-2014,"Boat, Gravois IV","OSD46,Gulf of Mexico MS (Horn Island)",29.8,OSD46_2014-06-21_0m_NPL022,Marine near barrier island,Surface water; influenced by Mississippi River output,Seawater,water,4288,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:35.473,2015-03-04T08:10:54.127,3386883,SAMEA3275604
SAMEA3275602,ERS667620,marine metagenome,0,OSD sampling,ERC000027,10 L bottle,2014-06-21T10:50:00+00,Adriatic Sea,"OSD_Department of Biology, University of Padova",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.4125,45.4125,12.5265,12.5265,Adriatic Sea,NPL022,OSD48_2014-06-21_0m_NPL022,OSD sampling,ERS667620,33.14,ERS667620,OSD-Jun-2014,UNIPD Boat,"OSD48,Venice Gulf",22.2,OSD48_2014-06-21_0m_NPL022,ENVO:01000047 MEDITTEREAN SEA BIOME,"ENVO:00002042, SURFACE WATER","ENVO:00002010, SEA WATER",water,3314,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:35.067,2015-03-04T08:10:53.953,3386881,SAMEA3275602
SAMEA3275601,ERS667619,marine metagenome,2,"This\n sampling activity is also a part of a long-term time series data set \nthat is a part of an on-going water-quality monitoring program that \nMarine Biology Station (NIB, Slovenia) has supported for more than 15 \nyears.",ERC000027,5L Niskin,2014-06-21T10:30:00+00,Adriatic Sea,"OSD_Marine Biology Station, Piran",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.325568,45.325568,13.33189,13.33189,Adriatic Sea,NPL022,OSD49_2014-06-21_2m_NPL022,"This\n sampling activity is also a part of a long-term time series data set \nthat is a part of an on-going water-quality monitoring program that \nMarine Biology Station (NIB, Slovenia) has supported for more than 15 \nyears.",ERS667619,34,ERS667619,OSD-Jun-2014,research vessel,"OSD49,Slovenia (Vida)",22,OSD49_2014-06-21_2m_NPL022,marine biome,surface water,seawater,water,3314,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:34.880,2015-03-04T08:10:53.827,3386880,SAMEA3275601
SAMEA3275600,ERS667618,marine metagenome,0,Contribute to OSD - obtain data for biodiversity and connectivity assessment within the DEVOTES project,ERC000027,Niskin bottle,2014-06-20T08:09:00+00,Bay of Biscay,OSD_AZTI Tecnalia,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,43.333333,43.333333,-1.925,-1.925,Bay of Biscay,NPL022,OSD50_2014-06-20_0m_NPL022,Contribute to OSD - obtain data for biodiversity and connectivity assessment within the DEVOTES project,ERS667618,34.3,ERS667618,OSD-Jun-2014,Pasaia Oceano meteorological station,"OSD50,Pasaia (Spain)",20,OSD50_2014-06-20_0m_NPL022,Surface marine water,Surface Marine water,niskin bottle,water,2359,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:34.660,2015-03-04T08:10:53.703,3386879,SAMEA3275600
SAMEA3275598,ERS667616,marine metagenome,2,"The sampling activity will be part of a long term project named "" Marine Geo""",ERC000027,Water sampling Bottle Van Dorn 2.2 liters,2014-06-21T10:56:00+00,Caribbean Sea,OSD_Bocas del Toro Research Station,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,9.3485,9.3485,-82.266,-82.266,Caribbean Sea,NPL022,OSD51_2014-06-21_2m_NPL022,"The sampling activity will be part of a long term project named "" Marine Geo""",ERS667616,34.6,ERS667616,OSD-Jun-2014,"Research boat ""Loligo""","OSD51,Bocas del Toro (Panama)",29.1,OSD51_2014-06-21_2m_NPL022,Marine pelagic,Costal water,Surface water,water,4287,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:34.460,2015-03-04T08:10:53.490,3386878,SAMEA3275598
SAMEA3275591,ERS667609,marine metagenome,1,"The Objective of this sampling trip is to contribute to the âOcean Sampling Dayâ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itâs large patches of seagrass.",ERC000027,"collection device: 10 L Acid washed buckets, measurement device: YSI proplus probe",2014-06-21T12:07:00+00,Red Sea,OSD_American University of Cairo,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.02527,27.02527,33.91253,33.91255,Red Sea,NPL022,OSD52_2014-06-21_1m_NPL022,"The Objective of this sampling trip is to contribute to the âOcean Sampling Dayâ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itâs large patches of seagrass.",ERS667609,38.33,ERS667609,OSD-Jun-2014,Zodiac,"OSD52,Abu Hashish",27,OSD52_2014-06-21_1m_NPL022,marine biome,surface water,seawater,water,4264,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:34.270,2015-03-04T08:10:53.457,3386877,SAMEA3275591
SAMEA3275590,ERS667608,marine metagenome,1,"The Objective of this sampling trip is to contribute to the âOcean Sampling Dayâ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itâs large patches of seagrass.",ERC000027,"collection device: 10 L buckets, measurement: YSI ptoplus probe",2014-06-21T10:43:00+00,Red Sea,OSD_American University of Cairo,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.041533,27.041533,33.9082,33.907033,Red Sea,NPL022,OSD53_2014-06-21_1m_NPL022,"The Objective of this sampling trip is to contribute to the âOcean Sampling Dayâ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itâs large patches of seagrass.",ERS667608,38.352,ERS667608,OSD-Jun-2014,Zodiac,"OSD53,Ras Disha",27.28333333,OSD53_2014-06-21_1m_NPL022,marine biome,surface water,2010,water,4264,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:34.083,2015-03-04T08:10:53.367,3386876,SAMEA3275590
SAMEA3275588,ERS667606,marine metagenome,1,"Sampling at 1m from floating dock@ Dept.of Marine Resources, Maine",ERC000027,Niskin,2014-06-21T10:45:00+00,North Atlantic Ocean,OSD_Bigelow Laboratory for Ocean Sciences,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,43.8444,43.8444,69.6409,-69.6409,North Atlantic Ocean,NPL022,OSD54_2014-06-21_1m_NPL022,"Sampling at 1m from floating dock@ Dept.of Marine Resources, Maine",ERS667606,31,ERS667606,OSD-Jun-2014,Floating Dock,"OSD54,Maine Booth Bay",11.9,OSD54_2014-06-21_1m_NPL022,marine biome,surface water,seawater,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:33.897,2015-03-04T08:10:53.320,3386875,SAMEA3275588
SAMEA3275586,ERS667604,marine metagenome,1,"OSD sampling from Maine USA, Damariscotta River",ERC000027,3 L Niskin Bottle,2014-06-21T11:30:00+00,North Atlantic Ocean,OSD_Bigelow Laboratory for Ocean Sciences,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,43.8604,43.8604,-69.5781,-69.5781,North Atlantic Ocean,NPL022,OSD55_2014-06-21_1m_NPL022,"OSD sampling from Maine USA, Damariscotta River",ERS667604,32,ERS667604,OSD-Jun-2014,Floating Dock,"OSD55,Maine Damariscotta River",12.5,OSD55_2014-06-21_1m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:33.503,2015-03-04T08:10:53.277,3386874,SAMEA3275586
SAMEA3275585,ERS667603,marine metagenome,0,OSD,ERC000027,ACID WASHED BUCKET,2014-06-24T21:20:00+00,North Pacific Ocean,"OSD_Kewalo Marine Laboratory, University of Hawaii at Manoa",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,21.2888,21.2888,-156.86362,-156.86362,North Pacific Ocean,NPL022,OSD56_2014-06-24_0m_NPL022,OSD,ERS667603,35,ERS667603,OSD-Jun-2014,BOAT,"OSD56,Hawaii Kakaako",26.06,OSD56_2014-06-24_0m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,1908,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:33.693,2015-03-04T08:10:53.230,3386873,SAMEA3275585
SAMEA3275584,ERS667602,marine metagenome,0,OSD,ERC000027,ACID WASHED BUCKET,2014-06-24T21:38:00+00,North Pacific Ocean,"OSD_Kewalo Marine Laboratory, University of Hawaii at Manoa",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,21.28656,21.28656,-157.84351,-157.84351,North Pacific Ocean,NPL022,OSD57_2014-06-24_0m_NPL022,OSD,ERS667602,34,ERS667602,OSD-Jun-2014,BOAT,"OSD57,Hawaii Oahu",27.58,OSD57_2014-06-24_0m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,1908,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:33.317,2015-03-04T08:10:53.187,3386872,SAMEA3275584
