Exp_Omic ID	Sample_ID	Archive_ID	Sample name: 	Instrument: 	Strategy: 	Source: 	Selection: 	Layout: 	sample_prep_method	library_kit	Laboratory protocol - extraction, sequencing, etc
EO_30	S_30	SRS2299103	S0530	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_31	S_31	SRS2299073	S0531	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_32	S_32	SRS2299072	S0532	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_33	S_33	SRS2299075	S0533	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_34	S_34	SRS2299074	S0534	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_35	S_35	SRS2299069	S0535	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_36	S_36	SRS2299068	S0536	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_37	S_37	SRS2299071	S0537	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_38	S_38	SRS2299070	S0538	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_39	S_39	SRS2299077	S0539	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_40	S_40	SRS2299076	S0540	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_41	S_41	SRS2299046	S0541	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_42	S_42	SRS2299047	S0542	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_43	S_43	SRS2299048	S0543	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_44	S_44	SRS2299049	S0544	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_45	S_45	SRS2299050	S0545	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_46	S_46	SRS2299051	S0546	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_47	S_47	SRS2299052	S0547	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_48	S_48	SRS2299053	S0548	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_49	S_49	SRS2299054	S0549	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_50	S_50	SRS2299055	S0550	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_51	S_51	SRS2299032	S0551	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_52	S_52	SRS2299031	S0552	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_53	S_53	SRS2299030	S0553	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_54	S_54	SRS2299029	S0554	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_55	S_55	SRS2299028	S0555	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_56	S_56	SRS2299027	S0556	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_57	S_57	SRS2299026	S0557	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_58	S_58	SRS2299025	S0558	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
