BioProject	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	bacterial_count	beam_atten	beam_trans	chlorophyll	collection_date	collection_time	conduc	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	env_feature	env_material	env_package	fluorescence	geo_loc_name	investigation_type	lat_lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_volume	sampling_cruise	sequencing_machine	sequencing_method	sigma-theta	site_name	std_norm_factor	surf_irradiance	target_molecules	temp	turbidity
SAMN03252803	SAMN03252803		SRS836563	RCM27		3960000			1.67	07-05-2011		61.5			14	507 umol C/kg		river	Amazon River	water			Brazil: Amazon River	metagenome	0.083883 S 51.051417 W	2.0 um	0.2 um				0.5 L		HiSeq 2500	Illumina PE 150x150		Macapa North (MCPN)	934437		Genomic DNA		
SAMN03252802	SAMN03252802		SRS836421	RCM26		3960000			1.67	07-05-2011		61.5			14	507 umol C/kg		river	Amazon River	water			Brazil: Amazon River	metagenome	0.083883 S 51.051417 W	297 um	2 um				0.66 L		HiSeq 2500	Illumina PE 150x150		Macapa North (MCPN)	758599		Genomic DNA		
SAMN03252801	SAMN03252801		SRS836418	RCM25		3960000			1.67	07-05-2011		61.5			14	507 umol C/kg		river	Amazon River	water			Brazil: Amazon River	metagenome	0.083883 S 51.051417 W	2.0 um	0.2 um				0.46 L		HiSeq 2500	Illumina PE 150x150		Macapa North (MCPN)	158034		Genomic DNA		
SAMN02628424	SAMN02628424	0.08036	SRS565995	ACM6	16.11		0.19	95.44		21-06-2010	755		4.21	1023.05 kgm-2	3.89	2005 _mol/kg	188.39 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	12.41 N 52.22 W	2.0 _m	0.2 _m	96.95	3.92	36.03	10 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	23.04	Station 27	606156	1621.32 _Em-2sec-1	Genomic DNA	28.4	1.07
SAMN02628423	SAMN02628423	0.08036	SRS580502	ACM56	16.11		0.19	95.44		21-06-2010	928		4.21	1023.05 kgm-2	3.89	2005 _mol/kg	188.39 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	12.41 N 52.22 W	156 _m	2.0 _m	96.95	3.92	36.03	12.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	23.04	Station 27	1899200	1621.32 _Em-2sec-1	Genomic DNA	28.4	1.07
SAMN02628422	SAMN02628422	0.08036	SRS580500	ACM55	16.11		0.19	95.44		21-06-2010	843		4.21	1023.05 kgm-2	3.89	2005 _mol/kg	188.39 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	12.41 N 52.22 W	2.0 _m	0.2 _m	96.95	3.92	36.03	13.4 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	23.04	Station 27	56055488	1621.32 _Em-2sec-1	Genomic DNA	28.4	1.07
SAMN02628421	SAMN02628421	0.07371	SRS584253	ACM54	78.48		0.65	84.92		18-06-2010	930		3.42	1019.66 kgm-2	3.93	1775 _mol/kg	213.84 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	11.31 N 56.43 W	156 _m	2.0 _m	108.6	3.95	31.87	5.05 L	"R/V Knorr, May-June 2010"	HiSeq 2500	Illumina PE 150x150	19.65	Station 25	104368	2057.58 _Em-2sec-1	Genomic DNA	29.21	1.23
SAMN02628420	SAMN02628420	0.07371	SRS580499	ACM53	78.48		0.65	84.92		18-06-2010	845		3.42	1019.66 kgm-2	3.93	1775 _mol/kg	213.84 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	11.31 N 56.43 W	2.0 _m	0.2 _m	108.6	3.95	31.87	9.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	19.65	Station 25	144810010	2057.58 _Em-2sec-1	Genomic DNA	29.21	1.23
SAMN02628419	SAMN02628419	0.08036	SRS565994	ACM5	16.11		0.19	95.44		21-06-2010	843		4.21	1023.05 kgm-2	3.89	2005 _mol/kg	188.39 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	12.41 N 52.22 W	156 _m	2.0 _m	96.95	3.92	36.03	10.1 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	23.04	Station 27	200129	1621.32 _Em-2sec-1	Genomic DNA	28.4	1.07
SAMN02628418	SAMN02628418	0.06538	SRS577852	ACM41	139.68		0.3	92.69		26-05-2010	1000		2.42	1018.98 kgm-2	3.76	1846 _mol/kg	188.26 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	7.29 N 53.00 W	156 _m	2.0 _m	94.43	3.78	30.8	10.4 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	18.97	Station 3		2690.35 _Em-2sec-1	Genomic DNA	28.85	1.12
SAMN02628417	SAMN02628417	0.06538	SRS582491	ACM40	139.68		0.3	92.69		26-05-2010	1000		2.42	1018.98 kgm-2	3.76	1846 _mol/kg	188.26 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	7.29 N 53.00 W	2.0 _m	0.2 _m	94.43	3.78	30.8	10.4 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	18.97	Station 3	1393074	2690.35 _Em-2sec-1	Genomic DNA	28.85	1.12
SAMN02628416	SAMN02628416	0.02208	SRS584254	ACM4	327.96		3.13	45.8		5/6/10	850		1.3	1012.65 kgm-2	4.26	1373 _mol/kg	251.56 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	4.88 N 51.36 W	2.0 _m	0.2 _m	120.81	4.28	22.55	4.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	12.63	Station 10	2718586	1913.71 _Em-2sec-1	Genomic DNA	29.36	3.02
SAMN02628415	SAMN02628415	0.02794	SRS580498	ACM39	79.8		0.25	93.85		16-06-2010	806		2.01	1015.64 kgm-2	3.64	1576 _mol/kg	194.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.68 N 54.42 W	156 _m	2.0 _m	95.39	3.66	26.49	10 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	15.62	Station 23	2387283	1449.22 _Em-2sec-1	Genomic DNA	29.22	1.1
SAMN02628414	SAMN02628414	0.02794	SRS582463	ACM38	79.8		0.25	93.85		16-06-2010	1015		2.01	1015.64 kgm-2	3.64	1576 _mol/kg	194.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.68 N 54.42 W	2.0 _m	0.2 _m	95.39	3.66	26.49	10.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	15.62	Station 23	206871443	1449.22 _Em-2sec-1	Genomic DNA	29.22	1.1
SAMN02628413	SAMN02628413	0.02208	SRS584255	ACM37	327.96		3.13	45.8		05-06-2010	850		1.3	1012.65 kgm-2	4.26	1373 _mol/kg	251.56 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	4.88 N 51.36 W	156 _m	2.0 _m	120.81	4.28	22.55	4.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	12.63	Station 10	13533646	1913.71 _Em-2sec-1	Genomic DNA	29.36	3.02
SAMN02628412	SAMN02628412	0.02208	SRS577850	ACM36	327.96		3.13	45.8		05-06-2010	749		1.3	1012.65 kgm-2	4.26	1373 _mol/kg	251.56 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	4.88 N 51.36 W	2.0 _m	0.2 _m	120.81	4.28	22.55	5.2 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	12.63	Station 10		1913.71 _Em-2sec-1	Genomic DNA	29.36	3.02
SAMN02628411	SAMN02628411	0.02208	SRS582461	ACM3	327.96		3.13	45.8		05-06-2010	749		1.3	1012.65 kgm-2	4.26	1373 _mol/kg	251.56 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	4.88 N 51.36 W	156 _m	2.0 _m	120.81	4.28	22.55	5.2 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	12.63	Station 10	2347636	1913.71 _Em-2sec-1	Genomic DNA	29.36	3.02
SAMN02628410	SAMN02628410	0.01671	SRS580495	ACM25	112.48		0.42	90.13		25-05-2010	839		2.09	1019.80 kgm-2	4.47	1802 _mol/kg	196.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.29 N 54.51 W	156 _m	2.0 _m	98.7	4.5	31.8	11.1 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	19.78	Station 2	70616943	796.66 _Em-2sec-1	Genomic DNA	28.63	1.17
SAMN02628409	SAMN02628409	0.01671	SRS577849	ACM24	112.48		0.42	90.13		25-05-2010	710		2.09	1019.80 kgm-2	4.47	1802 _mol/kg	196.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.29 N 54.51 W	2.0 _m	0.2 _m	98.7	4.5	31.8	4.85 L	"R/V Knorr, May-June 2010"	MiSeq	Illumina PE 150x150	19.78	Station 2	603802	796.66 _Em-2sec-1	Genomic DNA	28.63	1.17
SAMN02628408	SAMN02628408	0.07371	SRS582462	ACM23	78.48		0.65	84.92		18-06-2010	845		3.42	1019.66 kgm-2	3.93	1775 _mol/kg	213.84 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	11.31 N 56.43 W	156 _m	2.0 _m	108.6	3.95	31.87	4.85 L	"R/V Knorr, May-June 2010"	MiSeq	Illumina PE 150x150	19.65	Station 25	589720	2057.58 _Em-2sec-1	Genomic DNA	29.21	1.23
SAMN02628407	SAMN02628407	0.07371	SRS581965	ACM22	78.48		0.65	84.92		18-06-2010	757		3.42	1019.66 kgm-2	3.93	1775 _mol/kg	213.84 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	11.31 N 56.43 W	2.0 _m	0.2 _m	108.6	3.95	31.87	9.4 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	19.65	Station 25	337421	2057.58 _Em-2sec-1	Genomic DNA	29.21	1.23
SAMN02628406	SAMN02628406	0.02794	SRS581964	ACM21	79.8		0.25	93.85		16-06-2010	1015		2.01	1015.64 kgm-2	3.64	1576 _mol/kg	194.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.68 N 54.42 W	156 _m	2.0 _m	95.39	3.66	26.49	10.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	15.62	Station 23	146836	1449.22 _Em-2sec-1	Genomic DNA	29.22	1.1
SAMN02628405	SAMN02628405	0.02794	SRS567886	ACM20	79.8		0.25	93.85		16-06-2010	806		2.01	1015.64 kgm-2	3.64	1576 _mol/kg	194.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.68 N 54.42 W	2.0 _m	0.2 _m	95.39	3.66	26.49	10 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	15.62	Station 23	11447432	1449.22 _Em-2sec-1	Genomic DNA	29.22	1.1
SAMN02628404	SAMN02628404	0.01671	SRS565748	ACM2	112.48		0.42	90.13		25-05-2010	755		2.09	1019.80 kgm-2	4.47	1802 _mol/kg	196.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.29 N 54.51 W	2.0 _m	0.2 _m	98.7	4.5	31.8	10.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	19.78	Station 2	824111	796.66 _Em-2sec-1	Genomic DNA	28.63	1.17
SAMN02628403	SAMN02628403	0.06538	SRS567313	ACM19	139.68		0.3	92.69		26-05-2010	823		2.42	1018.98 kgm-2	3.76	1846 _mol/kg	188.26 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	7.29 N 53.00 W	156 _m	2.0 _m	94.43	3.78	30.8	10.4 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	18.97	Station 3	349248	2690.35 _Em-2sec-1	Genomic DNA	28.85	1.12
SAMN02628402	SAMN02628402	0.06538	SRS567311	ACM18	139.68		0.3	92.69		26-05-2010	910		2.42	1018.98 kgm-2	3.76	1846 _mol/kg	188.26 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	7.29 N 53.00 W	2.0 _m	0.2 _m	94.43	3.78	30.8	10.2 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	18.97	Station 3	1475896	2690.35 _Em-2sec-1	Genomic DNA	28.85	1.12
SAMN02628401	SAMN02628401	0.01671	SRS565747	ACM1	112.48		0.42	90.13		25-05-2010	755		2.09	1019.80 kgm-2	4.47	1802 _mol/kg	196.25 _mol/kg	surface seawater	Amazon River Plume	water	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	metagenome	10.29 N 54.51 W	156 _m	2.0 _m	98.7	4.5	31.8	10.8 L	"R/V Knorr, May-June 2010"	Genome Analyzer IIx	Illumina PE 150x150	19.78	Station 2	326737	796.66 _Em-2sec-1	Genomic DNA	28.63	1.17
